5001,25.90,1,40, 3, 1,"FwdWin          ",9.03,"751DBD5E62684C338B366DF1260052CB"
5002,"25USN   ","8012-022","CP15-915"
5003,"        ","UNDERSEA","SR-17 NB","F25"
5010,1,0,1,0,1,1,0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,"MDB","US","meters"
5011,0,1,2021,07,13,10,50,0,"Non",000
5200,"7999    ",2,1.003, 64.8,  0.02,  3.019
5201,"10051   ",4,0.995,0.968
5202,"10052   ",4,0.994,0.974
5203,"10053   ",4,0.995,0.968
5204,"10054   ",4,0.993,0.968
5205,"10055   ",4,0.993,0.974
5206,"10056   ",4,0.995,0.974
5207,"10057   ",4,0.993,0.993
5208,"10058   ",4,0.998,0.974
5209,"10059   ",4,0.996,0.968
5210,"NA      ",0,0.000,0.000
5211,"NA      ",0,0.000,0.000
5212,"NA      ",0,0.000,0.000
5213,"NA      ",0,0.000,0.000
5214,"NA      ",0,0.000,0.000
5215,"NA      ",0,0.000,0.000
5216,"NA      ",0,0.000,0.000
5217,"NA      ",0,0.000,0.000
5218,"NA      ",0,0.000,0.000
5020,  5.91,  0.00,-12.00,  8.00, 12.00, 18.00, 24.00, 36.00, 48.00, 60.00,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    
5021, 11.81,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    
5022,1,   0,   0, 2.75, 4.30, 5.70,11.00,
5023,1,3,0,     251,    5560,    5560,     306,   0.000,1,1
5024,0,0,0,0,0,0,   4.8, 2.0,   2.0, 2.0,1,0,0,  60
5029,      22,      66,   38873,  188766
5030,"                                "
5031
5032
5301,0,1,3,2,    5560,1,1,        ,2021,07,13,10,50
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.2, 81.0
5041,"                "
5042,"                "
5043,"                "
5044,"                "
7901,"Start NB File RP-47+00 DMI 0"
7901,"Start NB test DMI 250"
5280,0,140718.0, 41.33206012, -86.33561957, 248.91, 2,10,   0,  0
5301,0,1,3,2,     251,1,1,        ,2021,07,13,10,28
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.6, 79.7
   1,  66.5,  4.39,  3.62,  3.91,  3.62,  3.23,  2.94,  2.20,  1.65,  1.20
   2,  86.4,  5.75,  4.68,  5.07,  4.69,  4.19,  3.83,  2.86,  2.16,  1.58
   3, 103.4,  6.83,  5.56,  6.05,  5.61,  5.02,  4.57,  3.43,  2.57,  1.88
5280,0,140821.0, 41.33299550, -86.33339186, 248.12, 2,10,   0,  0
5301,0,1,3,2,     501,1,1,        ,2021,07,13,10,29
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.3, 79.9
   1,  66.6,  4.41,  2.96,  3.38,  3.01,  2.63,  2.30,  1.79,  1.38,  1.07
   2,  86.9,  5.74,  3.86,  4.43,  3.93,  3.44,  3.02,  2.33,  1.81,  1.39
   3, 103.8,  6.87,  4.61,  5.30,  4.71,  4.12,  3.61,  2.80,  2.18,  1.69
5280,0,140919.0, 41.33522688, -86.33317410, 248.81, 2,10,   0,  0
5301,0,1,3,2,     751,1,1,        ,2021,07,13,10,30
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.6, 81.1
   1,  61.4, 12.67,  8.04,  9.48,  7.67,  5.81,  4.23,  2.47,  1.60,  1.16
   2,  80.9, 16.94, 10.90, 12.85, 10.45,  7.99,  5.82,  3.41,  2.21,  1.54
   3,  97.1, 20.61, 13.36, 15.77, 12.88,  9.88,  7.21,  4.23,  2.76,  1.86
5280,0,141007.0, 41.33562167, -86.33030499, 247.88, 2,10,   0,  0
5301,0,1,3,2,    1002,1,1,        ,2021,07,13,10,31
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.9, 79.4
   1,  65.0,  8.13,  4.94,  5.92,  4.76,  3.74,  3.03,  2.13,  1.59,  1.21
   2,  85.0, 10.32,  6.33,  7.53,  6.12,  4.86,  3.95,  2.81,  2.12,  1.61
   3, 101.7, 12.17,  7.49,  8.91,  7.26,  5.79,  4.72,  3.34,  2.52,  1.93
5280,0,141053.0, 41.33699492, -86.32862500, 243.91, 2,10,   0,  0
5301,0,1,3,2,    1251,1,1,        ,2021,07,13,10,31
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.6, 80.6
   1,  63.5, 10.47,  6.58,  8.11,  6.56,  4.90,  3.75,  2.38,  1.65,  1.24
   2,  83.2, 13.48,  8.52, 10.40,  8.47,  6.39,  4.93,  3.13,  2.24,  1.63
   3,  99.8, 15.90, 10.10, 12.32, 10.07,  7.64,  5.93,  3.78,  2.71,  2.02
5280,0,141204.0, 41.33844927, -86.32679921, 244.49, 2,10,   0,  0
5301,0,1,3,2,    1500,1,1,        ,2021,07,13,10,33
